what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1364419863616
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1364419863618
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1364419863618
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1364419863620
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1364419863621
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1364419863621
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1364419863622
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1364419863624
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1364419863625
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1364419863626
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1364419863627
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1364419863629
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1364419863629
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1364419863629
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1364419863630
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1364419863631
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1364419863633
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1364419863633
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1364419863636
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1364419863638
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1364419863639
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1364419863641
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1364419863642
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1364419863644
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1364419863646
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1364419863647
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1364419863648
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1364419863648
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1364419863650
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1364419863652
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1364419863653
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1364419863654
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1364419863655
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1364419863656
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1364419863657
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1364419863659
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1364419863659
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1364419863661
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1364419863661
os,sysinfo,,,"macosx",1364419863663
arch,sysinfo,,,"x86_64",1364419863663
ws,sysinfo,,,"cocoa",1364419863664
locale,sysinfo,,,"en_US",1364419863664
processors,sysinfo,,,"8",1364419863664
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364419863664
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1364419863664
java.specification.name,sysinfo,,,"Java Platform API Specification",1364419863664
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364419863664
java.specification.version,sysinfo,,,"1.6",1364419863664
java.vendor,sysinfo,,,"Apple Inc.",1364419863664
java.version,sysinfo,,,"1.6.0_31",1364419863664
java.vm.info,sysinfo,,,"mixed mode",1364419863664
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1364419863664
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364419863664
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364419863664
java.vm.specification.version,sysinfo,,,"1.0",1364419863664
java.vm.vendor,sysinfo,,,"Apple Inc.",1364419863664
java.vm.version,sysinfo,,,"20.6-b01-415",1364419863664
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1364419864689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419864992
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1364419877486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419924270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1364419924358
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364419925790
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1364419926551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419928533
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1364419930466
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1364419930477
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1364419930479
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1364419930483
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1364419930497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419930554
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1364419930586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364419930586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419942867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419945549
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419945632
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1364419946180
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1364419946181
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1364419946181
