count,Count
dance,Dance
rock,Rock
bob,Bob
nod,Nod
SAD4.wav,Cry
twinkle.wav,Sing
look_down,Look Down
look_up,Look Up
a.wav,A
b.wav,B
c.wav,C
d.wav,D
e.wav,E
f.wav,F
g.wav,G
h.wav,H
i.wav,I
j.wav,J
k.wav,K
l.wav,L
m.wav,M
n.wav,N
o.wav,O
p.wav,P
q.wav,Q
r.wav,R
s.wav,S
t.wav,T
u.wav,U
v.wav,V
w.wav,W
x.wav,X
y.wav,Y
z.wav,Z
black.wav,Black
blue.wav,Blue
green.wav,Green
orange.wav,Orange
purple.wav,Purple
red.wav,Red
white.wav,White
yellow.wav,Yellow
bless_yo.wav,Bless you
could_yo.wav,Could you tell me a story
could_y0.wav,Could you tell me more
it's_so_.wav,It's so nice to see you
maybe.wav,Maybe
me too.wav,Me too
me_too.wav,Me too
no.wav,No
nope.wav,Nope
okay.wav,Okay
ooooo.wav,Ooooo
ro_mi_bo.wav,Ro mi bo
sorry.wav,Sorry
Sufferi0.wav,Sufferin succotash
thank_yo.wav,Thank you
thats_to.wav,Thats too bad
what_do_.wav,What do you think
what_hap.wav,What happened next
what_ha0.wav,What happens next
what_was.wav,What was that
why_is_t.wav,Why is that
will_you.wav,Will you pet me
yes.wav,Yes
you_are_.wav,You are my friend
you_are0.wav,You are my friend2
big.wav,Big
circle.wav,Circle
oval.wav,Oval
rectangl.wav,Rectangle
rectang0.wav,Rectangle2
small.wav,Small
square.wav,Square
triangle.wav,Triangle
down.wav,Down
left.wav,Left
right.wav,Right
up.wav,Up
angry.wav,Angry
confused.wav,Confused
happy.wav,Happy
i_feel.wav,I feel
i_feel2.wav,I feel2
sad.wav,Sad
come_and.wav,Come and get me
come_fin.wav,Come find me
guess_ag.wav,Guess again
i_am_goi.wav,I am going to get you
i_spy.wav,I spy
i_spy_so.wav,I spy something
keep_gue.wav,Keep guessing
lets_pla.wav,Lets play hide and go seek
lets_spi.wav,Lets spin
over_her.wav,Over here
ready_or.wav,Ready or not here i come
you_win.wav,You win
hello.wav,Hello
hola_ami.wav,Hola amigo
how_are_.wav,How are you today
how_do_y.wav,How do you feel
how_old_.wav,How old are you
i_am_a_r.wav,I am a robot
my_name_.wav,My name is romibo
what_is_.wav,What is your name
where_do.wav,Where do you live
aaahhh.wav,Aaahhh
daadut.wav,Daadut
eeeee.wav,Eeeee
hgrrr.wav,Hgrrr
low_batt.wav,Low battery
oh_uh.wav,Oh uh
omnomnom.wav,Omnomnomnomnom
omnomno0.wav,Omnomnomonom
wheeee.wav,Wheeee
bite_my_.wav,Bite my shiny
bye.wav,Bye
goodbye.wav,Goodbye
hope_you.wav,Hope you feel better soon
how_are0.wav,How are you feeling
how_are1.wav,How are you feeling2
i_hope_y.wav,I hope you feel
i_hope_0.wav,I hope you feel better soon
it_was_n.wav,It was nice talking to you
shalom.wav,Shalom
shalom2.wav,Shalom2
what_are.wav,What are your favorite activities
0.wav,0
1.wav,1
2.wav,2
3.wav,3
4.wav,4
5.wav,5
6.wav,6
7.wav,7
8.wav,8
9.wav,9
bounce.wav,Bounce
dance_wi.wav,Dance with me
give_me_.wav,Give me a hug
give_me0.wav,Give me a hug2
lets_dan.wav,Lets dance
lets_mak.wav,Lets make silly sounds
look_dow.wav,Look down
look_lef.wav,Look left
look_rig.wav,Look right
look_up.wav,Look up
nice_han.wav,Nice hands
nice_ha0.wav,Nice hands2
nice_ha1.wav,Nice hands3
no_runni.wav,No running
please.wav,Please
silence.wav,Silence
speak_sp.wav,Speak spanish
spin.wav,Spin
stomp_yo.wav,Stomp your feet
take_tur.wav,Take turns
use_kind.wav,Use kind words
use_kin0.wav,Use kind words2
use_your.wav,Use your inside voice
use_you0.wav,Use your walking feet
wave_you.wav,Wave your hands
we_use_n.wav,We use nice hands
kind_wor.wav,Kind words
maybe.wav,Maybe
no.wav,No
no_runn0.wav,No running
please(q.wav,Please(question)
please.wav,Please
take_tu0.wav,Take turns
thank_y0.wav,Thank you
thank_y1.wav,Thank you2
what_do0.wav,What do you think
yes(ques.wav,Yes(question)
you're_a.wav,You're awesome
Bye_Bye_.wav,Bye bye blackbird
Hava_Nag.wav,Hava nagila
In_the_M.wav,In the mood (glenn miller)
itsy_bit.wav,Itsy bitsy spider
Let_Me_C.wav,Let me call you sweetheart
little_m.wav,Little miss muffet
mario_th.wav,Mario theme
old_macd.wav,Old macdonald
Show_Me_.wav,Show me the way to go home
the_farm.wav,The farmer in the dell(complete)
the_far0.wav,The farmer in the dell(short)
twinkle.wav,Twinkle
You_Are1.wav,You are my sunshine
RB_Ask_m.wav,Rb ask me a question
RB_big.wav,Rb big
RB_black.wav,Rb black
RB_blue.wav,Rb blue
RB_cat.wav,Rb cat
RB_clap_.wav,Rb clap your hands
RB_climb.wav,Rb climb the tree
RB_color.wav,Rb color
RB_cross.wav,Rb cross the road
RB_dance.wav,Rb dance with me
RB_Do_wh.wav,Rb do what i do
RB_do_yo.wav,Rb do you know this
RB_do_y0.wav,Rb do you know this one
RB_dog.wav,Rb dog
RB_down.wav,Rb down
RB_food.wav,Rb food
RB_frog.wav,Rb frog
RB_Great.wav,Rb great job
RB_green.wav,Rb green
RB_guess.wav,Rb guess again
RB_hand.wav,Rb hand
RB_hehe_.wav,Rb hehe that's funny!
RB_hehe0.wav,Rb hehe that's funny
RB_Hello.wav,Rb hello 1
RB_How.wav,Rb how
RB_I'll_.wav,Rb i'll see you next time
RB_Imtir.wav,Rb i'm... tired...
RB_I_do_.wav,Rb i do not like
RB_I_don.wav,Rb i don't know
RB_I_lik.wav,Rb i like that!
RB_I_nee.wav,Rb i need to charge my batteries
RB_I_Spy.wav,Rb i spy
RB_is_th.wav,Rb is that
RB_jump_.wav,Rb jump up and down
RB_just_.wav,Rb just kidding
RB_keep_.wav,Rb keep guessing
RB_knock.wav,Rb knock knock
RB_left.wav,Rb left
RB_Lets_.wav,Rb lets play i spy
RB_Lets0.wav,Rb lets play simon says
RB_lets1.wav,Rb lets sing songs
RB_lets2.wav,Rb lets try again
RB_look.wav,Rb look
RB_look_.wav,Rb look to your
RB_loude.wav,Rb louder!
RB_me_to.wav,Rb me too
RB_My_na.wav,Rb my name is romibo 1
RB_No.wav,Rb no
RB_no_1.wav,Rb no 1
RB_orang.wav,Rb orange
RB_ouch.wav,Rb ouch
RB_owl.wav,Rb owl
RB_place.wav,Rb place to go
RB_point.wav,Rb point
RB_purpl.wav,Rb purple
RB_quiet.wav,Rb quieter
